unit,priority_rank,tier,zone,police_station,lat,lon,cis,recommended_window,day_focus,expected_violations,junction_share_pct,top_violations,radius_m
Unit-01,1,High,BTP082 - KR Market Junction,Upparpet,12.975534,77.576832,67.79,08:00-11:00,Sun,63555,85.0,WRONG PARKING (36744); NO PARKING (27218); PARKING IN A MAIN ROAD (1851),3414.3
Unit-02,2,High,BTP027 - Modi Bridge Junction,Malleshwaram,12.99109,77.550153,64.68,09:00-12:00,Sun,36135,80.0,WRONG PARKING (22303); NO PARKING (13953); PARKING IN A MAIN ROAD (800),3157.0
Unit-03,3,High,BTP051 - Safina Plaza Junction,Shivajinagar,12.982149,77.606335,63.9,09:00-12:00,Sun,23937,79.0,WRONG PARKING (13661); NO PARKING (10334); DEFECTIVE NUMBER PLATE (824),1111.0
Unit-04,4,High,"BTP189 - New Diagonal Road, Jayanagar",Jayanagara,12.928587,77.583374,58.2,08:00-11:00,Sun,2181,99.0,NO PARKING (1841); WRONG PARKING (442); PARKING IN A MAIN ROAD (117),540.7
Unit-05,5,High,BTP096 - Gali Anjaneya Temple,Byatarayanapura,12.953234,77.542341,57.99,01:00-04:00,Sun,1341,100.0,WRONG PARKING (713); NO PARKING (630); PARKING IN A MAIN ROAD (229),487.9
Unit-06,6,High,BTP108 - Tagore Park Junction,Basavanagudi,12.943953,77.571376,57.38,09:00-12:00,Sun,2187,100.0,WRONG PARKING (1221); NO PARKING (973); PARKING IN A MAIN ROAD (79),486.1
Unit-07,7,High,BTP126 - Dairy Circle,Mico Layout,12.936731,77.601725,55.68,05:00-08:00,Sat,186,100.0,WRONG PARKING (153); PARKING IN A MAIN ROAD (94); NO PARKING (33),109.3
Unit-08,8,High,BTP208 - Havanur Circle,Vijayanagara,12.988793,77.537742,55.65,09:00-12:00,Sat,901,100.0,WRONG PARKING (807); NO PARKING (101); PARKING IN A MAIN ROAD (63),439.8
Unit-09,9,Medium,BTP136 - Hosur-Tavarkere Road Junction,Mico Layout,12.935927,77.607325,54.86,02:00-05:00,Thu,203,100.0,WRONG PARKING (119); PARKING IN A MAIN ROAD (116); NO PARKING (84),272.5
Unit-10,10,Medium,BTP091 - Sirsi Circle,Chamarajpet,12.960082,77.558525,54.34,02:00-05:00,Sun,318,100.0,NO PARKING (233); WRONG PARKING (118); PARKING IN A MAIN ROAD (116),703.2
Unit-11,11,Medium,BTP063 - Siddalingaiah Circle,Cubbon Park,12.970913,77.597705,54.04,09:00-12:00,-,1264,96.0,NO PARKING (1115); WRONG PARKING (151); PARKING IN A MAIN ROAD (79),570.9
Unit-12,12,Medium,BTP032 - Windsor Circle,High ground,12.992628,77.588966,51.87,03:00-06:00,-,2509,84.0,WRONG PARKING (1850); NO PARKING (661); DEFECTIVE NUMBER PLATE (60),259.0
